team,rank,total,ANAT,BIOLAB,BRIDG,CAPOW,CODE,CRAVE,CRIME,DD,DP,EXPD,FACTS,FLITE,FOREST,GREEN,MET,ROAD,ROCK,ROLL,SOLAR,SOM,STORM,WHEEL,WIDI
B033Fairmont Private School - Anaheim Hills Campus,156,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B034Fairmont Private School - Anaheim Hills Campus,157,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B159Frank S. Greene Middle School,12,559,28,16,8,48,19,26,45,7,28,29,5,52,36,18,17,28,44,3,10,36,26,22,8
B161Frank S. Greene Middle School,50,1542,27,62,165,73,68,56,34,41,103,78,15,165,66,43,99,35,114,55,49,30,56,26,82
B160Frank S. Greene Middle School,95,2314,104,55,6,113,53,165,84,37,97,117,104,165,165,82,81,74,165,38,131,165,42,164,107
B036G.A. Stetson Middle School,98,2348,32,165,68,165,73,69,73,52,62,66,130,67,165,75,165,165,108,165,105,76,54,165,83
B037G.A. Stetson Middle School,119,2712,126,123,76,110,97,122,106,133,111,101,134,71,117,104,130,98,120,165,103,165,165,70,165
B039Garnet Valley Middle School,73,1971,31,50,165,67,5,47,35,32,165,45,65,60,74,99,124,55,50,165,97,165,165,165,45
B040Garnet Valley Middle School,78,2086,66,42,165,91,33,165,76,26,56,63,46,165,165,11,74,86,95,165,67,56,165,165,43
B038Garnet Valley Middle School,85,2179,136,37,15,51,166,117,17,71,165,60,12,164,76,68,49,117,106,164,90,165,165,165,3
B041Gentry Middle School,158,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B042Gentry Middle School,159,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B164Glasgow Middle School,70,1929,25,17,165,83,75,23,93,165,15,47,13,1,44,25,26,165,165,165,117,74,165,165,96
B165Glasgow Middle School,100,2377,35,165,165,165,65,165,92,116,38,165,165,165,5,165,93,29,64,20,76,98,165,63,98
B166Glasgow Middle School,153,3501,165,165,165,165,165,165,165,165,101,165,165,165,165,165,16,165,165,165,84,165,165,165,165
B043Granville Middle School,11,542,24,20,29,6,21,12,27,15,11,20,4,27,16,14,5,6,13,4,56,8,31,9,164
B044Granville Middle School,65,1908,114,129,35,100,88,90,128,126,100,116,89,29,105,125,97,48,81,12,106,43,4,49,94
B046Hamilton Middle School,64,1898,76,67,22,87,60,39,60,94,78,88,34,165,68,87,70,52,116,48,165,51,165,41,165
B045Hamilton Middle School,75,2022,92,110,59,112,123,50,33,72,14,165,77,16,64,32,165,49,165,165,18,50,165,165,61
B047Hamilton Middle School,87,2203,83,114,60,57,165,107,65,64,60,165,99,17,87,48,34,43,131,50,165,165,165,164,95
B048Hawthorn Middle School South,90,2233,87,165,82,108,70,87,105,109,91,77,113,165,91,102,110,94,82,46,107,101,165,40,36
B049Hawthorn Middle School South,96,2328,86,92,165,71,43,95,81,165,165,75,31,165,69,129,103,41,118,54,50,165,165,36,164
B050Highlands Intermediate School,21,741,1,12,164,28,24,52,41,6,16,4,20,24,32,19,23,27,5,34,71,41,27,57,13
B051Highlands Intermediate School,44,1399,54,90,30,46,52,76,47,98,74,44,79,53,52,108,37,83,37,60,55,47,72,27,78
B052Iolani School,31,1089,63,13,37,82,18,68,32,112,41,35,88,40,14,1,39,36,88,11,34,34,41,56,106
B053Iolani School,34,1149,68,74,54,66,40,29,54,17,65,41,33,34,37,47,40,19,45,74,40,32,164,53,23
B056Jeffrey Trail Middle School,4,395,6,14,16,3,3,22,5,9,9,67,6,10,28,31,8,10,8,2,26,10,10,65,27
B058Jeffrey Trail Middle School,37,1235,10,25,41,17,9,25,13,31,68,19,59,46,15,34,28,166,36,165,53,24,165,165,21
B057Jeffrey Trail Middle School,61,1805,29,30,165,22,44,35,42,36,165,46,44,165,40,26,35,165,165,165,165,38,25,58,100
B171Jonas Clarke Middle School,26,859,26,33,23,72,84,49,72,23,20,27,47,42,11,5,36,9,31,47,31,40,60,51,20
B170Jonas Clarke Middle School,74,1982,85,56,165,88,106,45,112,95,73,50,61,165,103,112,69,54,94,33,39,42,165,68,102
B060Kealing Middle School,27,886,57,34,42,49,166,17,11,35,37,31,32,165,12,6,83,7,2,5,24,6,15,2,48
B059Kealing Middle School,81,2122,88,40,165,47,51,165,91,120,165,72,165,23,112,134,71,45,165,37,27,165,33,38,103
B064Kennedy Middle School,2,139,5,3,4,10,1,10,3,2,1,2,10,5,1,10,3,8,1,6,36,2,5,10,1
B066Kennedy Middle School,8,511,18,39,12,12,2,34,4,28,27,17,56,43,22,9,24,24,33,29,14,5,20,11,28
B063Kennedy Middle School,16,697,59,43,1,24,8,40,16,16,34,3,49,38,59,27,31,14,22,56,92,12,6,21,26
B062Kennedy Middle School,41,1353,60,93,48,30,25,15,51,47,89,62,85,165,123,70,64,60,32,16,94,20,16,30,58
B065Kennedy Middle School,47,1486,71,165,49,44,48,66,6,43,45,59,62,18,65,73,82,72,47,25,102,61,50,165,68
B061Kennedy Middle School,132,3011,165,61,165,165,74,65,165,65,43,165,165,165,165,165,79,165,165,165,136,165,165,13,165
B067Kennedy Middle School,136,3056,165,165,165,165,165,165,141,165,114,121,165,165,114,128,92,97,67,165,124,44,34,165,165
B068Laker Middle School,141,3191,135,165,73,165,165,165,137,165,165,122,131,165,126,165,165,165,122,57,142,104,62,165,165
B069Longfellow Middle School,13,617,14,8,84,21,16,14,8,34,13,22,38,6,8,16,41,2,17,44,43,39,66,23,40
B070Longfellow Middle School,15,634,17,5,25,56,10,36,7,8,12,9,9,165,31,30,9,26,7,31,16,11,21,44,49
B163Magnolia Science Academy,145,3360,129,124,165,165,113,165,140,114,165,123,165,165,121,133,127,165,126,165,130,165,165,165,165
B072Margarita Middle School,134,3021,47,80,165,86,134,165,144,165,165,104,165,165,128,165,128,165,102,165,66,103,165,165,84
B071Margarita Middle School,140,3181,73,165,79,98,165,165,131,138,165,107,58,165,122,165,165,165,165,165,140,90,165,165,165
B073Marie Murphy School,40,1301,34,19,165,9,66,20,23,10,61,12,17,165,42,13,51,17,9,9,29,165,165,165,35
B074Marie Murphy School,66,1911,43,70,165,164,96,32,50,75,39,38,14,165,17,28,48,59,49,164,58,165,165,165,42
B076Mark Twain Middle School,108,2498,36,83,165,164,102,114,136,82,121,82,69,165,97,114,105,166,105,165,69,57,57,165,79
B077Mark Twain Middle School,144,3318,103,115,165,165,137,79,165,121,165,165,165,165,165,111,165,91,165,164,165,87,165,165,165
B075Mark Twain Middle School,148,3411,130,125,165,164,135,125,143,124,165,165,127,165,165,165,165,165,130,165,165,165,63,165,165
B078Mesa Verde Middle School,84,2173,39,91,165,62,57,48,108,44,165,39,55,165,125,51,77,64,71,165,63,165,165,165,24
B079Mesa Verde Middle School,128,2865,72,103,165,63,103,126,99,90,165,80,109,165,165,78,65,165,93,165,134,165,165,165,165
B081Metrolina Regional Scholars Academy,88,2204,122,53,92,164,119,91,101,81,63,96,75,69,92,58,115,77,96,73,83,78,76,165,165
B080Metrolina Regional Scholars Academy,149,3418,137,121,165,165,122,119,133,165,120,165,165,165,120,115,165,165,121,165,165,165,165,165,165
B082Meyzeek Middle School,77,2070,95,126,46,165,46,63,38,70,106,106,19,164,165,41,89,110,107,165,13,94,64,164,14
B083Meyzeek Middle School,97,2344,125,88,78,89,38,108,129,104,98,92,81,165,110,89,106,67,55,164,35,29,165,165,164
B084Meyzeek Middle School,99,2368,89,89,165,80,78,106,114,96,92,125,119,165,107,91,67,63,127,164,46,92,67,164,62
B085Noe Middle School,104,2394,101,104,67,60,81,83,119,77,107,118,90,164,102,95,85,166,117,165,93,55,165,164,16
B086North Cumberland Middle School,125,2861,124,105,90,165,112,75,165,86,122,68,92,165,165,80,165,165,165,165,141,165,165,69,47
B087North Cumberland Middle School,138,3165,38,165,75,165,165,165,96,165,165,165,26,165,165,165,165,165,165,81,44,165,165,165,165
B088North Cumberland Middle School,146,3385,165,165,165,165,120,110,116,135,124,165,165,165,165,107,87,165,165,165,111,165,165,165,165
B095Oak Valley Middle School,6,472,7,21,85,40,32,27,19,12,2,10,22,9,30,8,19,4,26,7,1,9,2,47,33
B092Oak Valley Middle School,23,838,30,18,24,79,29,19,26,56,22,7,73,22,33,69,6,11,20,62,20,52,37,60,63
B090Oak Valley Middle School,25,856,22,64,9,50,30,28,59,38,58,57,35,4,21,56,54,61,40,10,47,83,14,7,9
B093Oak Valley Middle School,30,1083,112,81,13,58,95,33,103,51,53,15,42,7,38,81,25,53,69,41,23,35,11,19,25
B094Oak Valley Middle School,33,1137,70,48,2,75,49,70,90,78,72,23,93,3,89,42,72,47,48,39,52,16,18,35,6
B091Oak Valley Middle School,36,1217,61,51,28,41,80,46,53,103,67,18,60,48,53,53,18,103,77,53,45,46,19,37,57
B089Oak Valley Middle School,46,1465,106,73,31,76,59,4,79,55,81,49,97,25,82,98,75,99,65,77,60,65,8,34,67
B099Ocean Air School,67,1917,58,94,165,32,61,72,52,131,55,37,114,165,85,110,62,46,68,72,89,49,32,164,104
B097Ocean Air School,120,2746,108,117,165,99,101,165,71,122,96,165,165,165,72,127,112,116,91,58,88,165,48,165,165
B098Ocean Air School,131,2973,165,119,165,109,165,112,94,132,165,165,125,165,165,165,165,105,124,82,165,60,44,164,53
B096Ocean Air School,133,3015,165,165,165,52,121,127,165,113,165,51,165,164,165,165,165,165,165,26,99,165,29,165,88
B102Orlando Science Middle School,45,1436,15,36,19,33,86,59,44,13,31,58,43,165,54,44,32,88,61,49,19,71,165,165,86
B103Orlando Science Middle School,53,1623,49,41,26,20,109,77,28,30,90,70,95,54,67,65,59,80,38,28,135,91,165,165,41
B104Orlando Science Middle School,83,2166,48,54,65,36,124,165,55,57,48,91,103,165,94,24,91,165,57,165,109,165,47,165,73
B105Orlando Science Middle School,109,2534,84,106,44,53,130,165,67,68,104,114,123,165,84,121,44,165,78,165,122,165,165,165,37
B106Orlando Science Middle School,115,2599,115,96,165,64,126,78,63,119,126,87,111,165,90,132,111,102,109,165,73,96,165,165,76
B107Orlando Science Middle School,147,3396,165,165,165,165,165,115,165,165,127,165,165,165,127,135,125,96,125,165,129,107,165,165,165
B109Our Lady of the Valley Catholic School,57,1659,62,76,52,78,105,84,69,73,76,53,96,165,45,117,38,81,56,65,57,77,36,52,46
B110Our Lady of the Valley Catholic School,101,2381,100,99,62,115,127,123,127,127,87,124,120,165,109,116,117,112,83,69,116,88,49,59,87
B111Piedmont IB Middle School,103,2387,99,128,33,107,67,120,80,100,108,113,91,32,118,118,114,106,165,36,86,165,165,164,72
B112Pilgrimage Homeschool,69,1928,94,109,165,27,58,54,95,69,93,64,84,165,39,54,47,20,30,165,7,70,165,165,89
B113Pleasant Ridge Middle School,19,728,45,46,32,11,20,24,14,88,40,81,25,14,23,50,20,15,25,14,48,18,40,28,7
B114Pleasant Ridge Middle School,121,2772,102,113,165,101,131,165,57,60,71,110,117,166,104,72,98,165,75,165,75,165,165,165,165
B115Rachel Carson Middle School,160,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B116Rachel Carson Middle School,161,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B117Rachel Carson Middle School,162,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B119Rancho Milpitas Middle School,60,1767,93,102,51,94,37,121,68,87,83,74,124,64,61,55,101,68,112,35,77,59,59,71,71
B118Rancho Milpitas Middle School,102,2386,116,122,50,114,115,96,111,101,109,112,80,66,63,84,95,87,97,164,100,102,74,164,164
B120Ridgecrest Intermediate School,163,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B162River City Science Academy,49,1519,117,45,11,7,31,62,62,21,24,61,54,165,46,38,29,37,23,165,96,73,165,165,22
B143Russell Middle School,82,2133,90,98,91,61,87,104,113,134,119,100,115,68,56,120,73,70,103,165,128,75,61,48,54
B142Russell Middle School,86,2193,123,101,80,74,118,109,74,129,33,111,71,165,81,103,116,90,74,165,137,81,58,20,80
B122Scotts Ridge Middle School,164,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B124Seminole Science Charter School,80,2118,53,120,77,93,77,64,46,123,52,89,39,165,80,59,100,38,52,165,133,99,165,165,64
B123Seminole Science Charter School,106,2450,91,71,74,104,125,100,132,110,115,109,116,165,73,113,90,92,100,165,113,89,165,33,105
B125Seven Lakes Junior High School,22,756,40,27,27,23,12,38,22,45,75,30,41,35,62,21,10,33,43,59,8,26,51,18,10
B126Seven Lakes Junior High School,32,1127,51,44,83,14,15,74,43,80,49,83,68,49,58,39,42,34,19,64,61,48,38,42,29
B127Sierra Vista Middle School,1,98,2,2,5,1,7,3,1,1,17,1,1,19,4,17,1,3,3,1,2,1,1,3,2
B129Sierra Vista Middle School,7,492,9,4,61,4,14,18,2,5,3,6,3,2,9,3,7,30,4,79,4,13,165,15,32
B128Sierra Vista Middle School,10,540,11,9,3,2,17,16,15,4,23,11,8,165,25,15,53,40,16,8,38,14,3,14,30
B130Sierra Vista Middle School,51,1575,8,10,53,45,54,111,9,22,70,33,78,165,165,165,165,58,58,76,32,86,17,45,50
B131Skyridge Middle School,42,1361,77,68,43,55,98,13,66,40,32,65,64,28,60,74,123,95,85,19,41,31,53,66,65
B132Skyridge Middle School,91,2237,41,116,18,85,128,99,135,91,95,71,129,39,96,136,102,100,129,165,108,165,73,46,70
B133Skyridge Middle School,126,2862,98,111,89,111,133,165,138,125,85,120,121,164,7,61,118,165,111,165,115,165,165,165,165
B169Skyview Middle School,111,2539,74,23,165,165,111,92,165,106,42,165,18,165,93,29,60,104,123,165,112,67,165,165,165
B168Skyview Middle School,114,2599,42,28,165,165,91,81,165,66,59,165,67,165,111,93,55,109,165,165,68,79,165,165,165
B134Solon Middle School,5,458,13,29,56,5,28,1,10,62,8,13,7,33,3,33,14,12,15,40,9,7,9,39,12
B135Solon Middle School,28,897,12,24,39,15,90,31,82,27,19,48,23,37,10,37,12,21,24,13,22,15,165,32,99
B137St. Mary Catholic School,63,1889,81,77,55,164,63,85,86,105,82,73,128,55,55,124,96,56,92,70,65,97,55,24,101
B136St. Mary Catholic School,107,2484,133,95,34,165,94,113,125,136,79,119,126,58,101,131,119,165,128,67,82,105,52,164,93
B138Stoller Middle School,20,733,69,35,45,31,13,9,24,20,7,34,53,51,34,57,50,32,6,52,3,28,28,1,51
B140Stoller Middle School,52,1593,67,38,165,65,41,53,85,107,30,40,30,15,75,106,86,51,98,22,121,37,45,164,52
B139Stoller Middle School,59,1711,78,57,38,106,85,58,123,59,117,55,63,59,48,126,109,50,54,42,132,54,68,61,69
B141Sycamore Ridge Elementary School,129,2918,138,118,165,165,138,165,97,84,165,103,118,164,95,85,165,165,115,78,110,165,75,164,81
B144Venado Middle School,113,2580,80,165,66,97,26,82,142,89,105,99,37,165,115,100,104,75,165,164,165,165,165,165,44
B145Vista Verde Middle School,55,1651,121,26,71,92,27,51,36,46,125,79,87,165,57,97,113,31,87,43,87,62,77,54,17
B146Wachter Middle School,93,2263,134,69,165,37,42,88,88,93,25,69,83,165,98,45,46,69,63,165,165,165,165,165,59
B147Wachter Middle School,112,2565,127,108,165,165,82,116,61,61,112,93,101,165,71,60,84,76,80,165,101,165,165,165,77
B148West Liberty-Salem Middle School,116,2622,75,75,165,81,93,93,109,85,66,105,98,61,165,77,126,165,53,165,104,166,165,165,165
B149West Liberty-Salem Middle School,143,3280,111,165,165,165,132,124,130,137,165,165,108,165,165,165,131,111,59,165,91,166,165,165,165
B158Wicklund Elementary School,18,726,23,52,7,8,69,30,75,25,5,32,29,57,27,66,52,22,10,23,51,19,12,17,15
B151William Diamond Middle School,56,1653,105,72,87,59,110,101,39,79,44,14,66,62,49,52,45,66,70,165,123,64,71,55,55
B152William Diamond Middle School,68,1928,97,58,57,77,79,73,83,63,86,43,76,164,20,130,61,89,90,165,78,72,165,5,97
B153William Diamond Middle School,122,2811,50,165,165,105,72,67,118,165,99,165,102,31,165,79,94,165,113,165,165,66,165,165,165
B154Winburn Middle School,118,2664,96,97,165,102,76,86,115,67,80,102,74,165,119,88,121,108,84,165,95,165,165,165,164
